,Realized Volatility
2008-01-03,0.0048556452852258295
2008-01-04,0.013054908068353879
2008-01-07,0.009336339477303114
2008-01-08,0.013420363850886834
2008-01-09,0.0071335658268530415
2008-01-10,0.011528476424171636
2008-01-11,0.010436400221804601
2008-01-14,0.003187211379538364
2008-01-15,0.014969968007728273
2008-01-16,0.0142657122111308
2008-01-17,0.01381096419875587
2008-01-18,0.014781921053316128
2008-01-22,0.0351390393517441
2008-01-23,0.026842631831853
2008-01-24,0.009353850132517664
2008-01-25,0.011676754438586196
2008-01-28,0.007046395323462333
2008-01-29,0.006223393232643741
2008-01-30,0.013027713941678518
2008-01-31,0.016335450884209398
2008-02-01,0.008190547846238955
2008-02-04,0.00722167699298363
2008-02-05,0.020615931745086108
2008-02-06,0.0075207389486986334
2008-02-07,0.010782529337632806
2008-02-08,0.009317788676903886
2008-02-11,0.00638569997362847
2008-02-12,0.00784398776151272
2008-02-13,0.005446908918742307
2008-02-14,0.007682097136929297
2008-02-15,0.0058121304063846356
2008-02-19,0.0076381584951206
2008-02-20,0.008516584932310313
2008-02-21,0.008416899852509529
2008-02-22,0.006307045722235327
2008-02-25,0.008405496361961601
2008-02-26,0.004932206301781723
2008-02-27,0.007353537550756746
2008-02-28,0.010437915689286559
2008-02-29,0.017037885562550478
2008-03-03,0.008344431254069463
2008-03-04,0.010085980885118475
2008-03-05,0.007722907449709856
2008-03-06,0.011439890270255033
2008-03-07,0.01008005220924512
2008-03-10,0.008089259712419151
2008-03-11,0.007301325999497372
2008-03-12,0.008449235179465529
2008-03-13,0.0191211629301277
2008-03-14,0.025225844341776174
2008-03-17,0.021703681355108292
2008-03-18,0.00656386424015427
2008-03-19,0.012553748676428122
2008-03-20,0.004841710683727468
2008-03-24,0.006338981148840011
2008-03-25,0.006628249523897414
2008-03-26,0.008705179217546372
2008-03-27,0.009968526804841409
2008-03-28,0.007155593337576228
2008-03-31,0.004888298769682013
2008-04-01,0.0029015158290621283
2008-04-02,0.00575682415991919
2008-04-03,0.007915129268808876
2008-04-04,0.0049627999268680575
2008-04-07,0.00485149093922279
2008-04-08,0.007043469551437995
2008-04-09,0.005286112359856915
2008-04-10,0.0061370482632822024
2008-04-11,0.013339491152708166
2008-04-14,0.004772217135599771
2008-04-15,0.005601272435488924
2008-04-16,0.0034297168743180413
2008-04-17,0.004471014754745178
2008-04-18,0.004178751620758374
2008-04-21,0.004827687278728211
2008-04-22,0.008279373406176108
2008-04-23,0.0046699425140688785
2008-04-24,0.006018056056439111
2008-04-25,0.006050281679057581
2008-04-28,0.003877254516048999
2008-04-29,0.004084623496609748
2008-04-30,0.009440582837585152
2008-05-01,0.0032566548991659248
2008-05-02,0.005471258452467039
2008-05-05,0.006444638339783006
2008-05-06,0.005537286958843211
2008-05-07,0.007943462842283143
2008-05-08,0.005169438447514703
2008-05-09,0.008652267365518888
2008-05-12,0.0027313676623888956
2008-05-13,0.0037310660625785603
2008-05-14,0.004401600725635813
2008-05-15,0.0032849717132524365
2008-05-16,0.0037921742023878102
2008-05-19,0.0056752037174225365
2008-05-20,0.007480247396145526
2008-05-21,0.008864544155987504
2008-05-22,0.004432078740941515
2008-05-23,0.007850071807247548
2008-05-27,0.0039619520144257465
2008-05-28,0.004685583187900365
2008-05-29,0.0035286876869903435
2008-05-30,0.003756815028459899
2008-06-02,0.007903791580144688
2008-06-03,0.0072508063128230715
2008-06-04,0.007569165316082127
2008-06-05,0.003245359747282934
2008-06-06,0.014291582701154574
2008-06-09,0.005764488977489835
2008-06-10,0.007971372850660905
2008-06-11,0.009359461056915376
2008-06-12,0.005775559503364509
2008-06-13,0.004136241337833594
2008-06-16,0.005821134826690649
2008-06-17,0.005598721847124514
2008-06-18,0.007721063019410922
2008-06-19,0.0051018714603651046
2008-06-20,0.012599437312750665
2008-06-23,0.004720330965865198
2008-06-24,0.00700152979962271
2008-06-25,0.005625981958290569
2008-06-26,0.01460411712579232
2008-06-27,0.00797701345681026
2008-06-30,0.00845622955550071
2008-07-01,0.012628584959300533
2008-07-02,0.009483724373216639
2008-07-03,0.006537564778741404
2008-07-07,0.013947050276917785
2008-07-08,0.006165962712804589
2008-07-09,0.010332550167168575
2008-07-10,0.010135940496622387
2008-07-11,0.01744796135320734
2008-07-14,0.010796662273790393
2008-07-15,0.01580094191599808
2008-07-16,0.006160232019966678
2008-07-17,0.008424797609066037
2008-07-18,0.00669896876258648
2008-07-21,0.0051340141976810565
2008-07-22,0.008148785515080947
2008-07-23,0.006346539465003072
2008-07-24,0.00840427126077847
2008-07-25,0.007315863008128574
2008-07-28,0.006555800622313778
2008-07-29,0.005336641976232421
2008-07-30,0.0062286616056871505
2008-07-31,0.009904174563030162
2008-08-01,0.007052544345799265
2008-08-04,0.008059275180813561
2008-08-05,0.00180500497147736
2008-08-06,0.006172308145260999
2008-08-07,0.013251556037537483
2008-08-08,0.002610782956184951
2008-08-11,0.0053409337158784485
2008-08-12,0.007609188210766449
2008-08-13,0.009120648958053418
2008-08-14,0.005691334763728449
2008-08-15,0.005332551887974489
2008-08-18,0.006917018091333648
2008-08-19,0.007243742107287059
2008-08-20,0.005677809448763618
2008-08-21,0.00723262639697433
2008-08-22,0.004022401137747095
2008-08-25,0.010313977695299134
2008-08-26,0.0045393277641025635
2008-08-27,0.00446924946113378
2008-08-28,0.002586169468786614
2008-08-29,0.006784588310480517
2008-09-02,0.008487631256354133
2008-09-03,0.007538743742858825
2008-09-04,0.013901325678285732
2008-09-05,0.008664404089074316
2008-09-08,0.01260014396778159
2008-09-09,0.012805911939421261
2008-09-10,0.008521796687245894
2008-09-11,0.017860843596140527
2008-09-12,0.010659542786128483
2008-09-15,0.03043578297457267
2008-09-16,0.01942379586875854
2008-09-17,0.02689410654580294
2008-09-18,0.017107012844497668
2008-09-19,0.013646094088723287
2008-09-22,0.017927978220547165
2008-09-23,0.016011940112961344
2008-09-24,0.012109730223820947
2008-09-25,0.008055314093255283
2008-09-26,0.018023068087501003
2008-09-29,0.04528468883417194
2008-09-30,0.007640276263642531
2008-10-01,0.015003568839510553
2008-10-02,0.021223507804593346
2008-10-03,0.026917741283589373
2008-10-06,0.03833456355215796
2008-10-07,0.028132353393594184
2008-10-08,0.040528877674785045
2008-10-09,0.03350494724004949
2008-10-10,0.04752279422768844
2008-10-13,0.008636119666338682
2008-10-14,0.0352128744595514
2008-10-15,0.04358662517643772
2008-10-16,0.03681777905816492
2008-10-17,0.029488852776964194
2008-10-20,0.01176916314189917
2008-10-21,0.02697367423235365
2008-10-22,0.03936534068588215
2008-10-23,0.03125282621940384
2008-10-24,0.06589024045482737
2008-10-27,0.03575838459579757
2008-10-28,0.020708339964719463
2008-10-29,0.04551400644085533
2008-10-30,0.0203178178735801
2008-10-31,0.014880317800629643
2008-11-03,0.0096525961143983
2008-11-04,0.009467480721241138
2008-11-05,0.024233225809815045
2008-11-06,0.02225647756320934
2008-11-07,0.015651200652132866
2008-11-10,0.017138793598653213
2008-11-11,0.027907662966206958
2008-11-12,0.02898915270237559
2008-11-13,0.031011299075760668
2008-11-14,0.03540003169503731
2008-11-17,0.03286228637683137
2008-11-18,0.02059676488951995
2008-11-19,0.03034448080187953
2008-11-20,0.04551156814385755
2008-11-21,0.026843139364164704
2008-11-24,0.025734813594868854
2008-11-25,0.01950165476139611
2008-11-26,0.02004351153263635
2008-11-28,0.0054485426820605285
2008-12-01,0.046824606736659224
2008-12-02,0.017347766883668188
2008-12-03,0.023638738690988294
2008-12-04,0.02566803666748244
2008-12-05,0.020153051272578264
2008-12-08,0.013409139443342044
2008-12-09,0.020251449242617806
2008-12-10,0.015269229418431519
2008-12-11,0.019271928218981254
2008-12-12,0.022095454179473877
2008-12-15,0.012919580294964263
